user_id,budget_min,budget_max,location_preference,branch_preference,cleanliness_level,noise_tolerance,smoking_tolerance,pets_tolerance,party_tolerance,name,about,photo_url
1,10000,20000,Dadar,INFT,2,3,TRUE,TRUE,TRUE
2,20000,25000,Wadala,INFT,3,3,TRUE,FALSE,TRUE
3,15000,25000,Wadala,EXTC,1,3,FALSE,FALSE,FALSE
4,20000,25000,Wadala,INFT,2,4,FALSE,FALSE,TRUE
5,20000,25000,Chembur,EXTC,1,5,TRUE,FALSE,TRUE
6,10000,25000,Matunga,INFT,1,3,TRUE,FALSE,FALSE
7,15000,20000,Matunga,EXTC,3,2,FALSE,FALSE,FALSE
8,15000,25000,Chunabhatti,EXCS,1,3,TRUE,TRUE,FALSE
9,15000,25000,Wadala,EXCS,5,5,TRUE,FALSE,FALSE
10,25000,25000,Chembur,INFT,2,5,FALSE,FALSE,FALSE
11,10000,20000,Dadar,BIOMED,1,4,TRUE,TRUE,FALSE
12,15000,15000,Dadar,EXCS,1,3,TRUE,FALSE,FALSE
13,10000,25000,Chunabhatti,CMPN,4,2,FALSE,TRUE,TRUE
14,10000,25000,Chunabhatti,CMPN,4,4,FALSE,TRUE,TRUE
15,15000,20000,Wadala,EXTC,5,4,TRUE,TRUE,FALSE
16,10000,15000,Wadala,BIOMED,4,3,TRUE,TRUE,TRUE
17,20000,25000,Dadar,EXTC,1,3,FALSE,FALSE,TRUE
18,15000,25000,Dadar,INFT,1,4,FALSE,FALSE,TRUE
19,5000,15000,Dadar,EXCS,2,4,FALSE,FALSE,FALSE
20,10000,20000,Dadar,BIOMED,4,4,FALSE,FALSE,TRUE
21,10000,15000,Matunga,EXTC,3,1,FALSE,FALSE,TRUE
22,25000,25000,Wadala,EXTC,4,4,TRUE,TRUE,FALSE
23,5000,20000,Wadala,CMPN,1,5,TRUE,FALSE,TRUE
24,5000,5000,Dadar,INFT,2,2,TRUE,FALSE,FALSE
25,5000,5000,Chembur,EXTC,4,2,FALSE,FALSE,TRUE
26,15000,25000,Dadar,CMPN,2,3,FALSE,FALSE,TRUE
27,5000,15000,Chunabhatti,BIOMED,4,4,FALSE,TRUE,TRUE
28,10000,10000,Chembur,EXTC,5,2,TRUE,TRUE,TRUE
29,20000,25000,Chunabhatti,CMPN,1,2,TRUE,TRUE,TRUE
30,20000,25000,Chembur,INFT,1,5,FALSE,TRUE,FALSE
31,15000,25000,Chunabhatti,EXCS,3,5,TRUE,TRUE,TRUE
